Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bhutan,BTN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,737147921.73411,754068095.24854,860578270.754314
Bhutan,BTN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1234918506.57475,1260911285.0785,1241567454.63458
Bolivia,BOL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,9341206390.69807,10470274257.4627,10210442517.0918
Bolivia,BOL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11762009850.4516,12443964233.1397,11976428328.8021
Bosnia and Herzegovina,BIH,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7382217932.46514,8501630054.31503,8076578902.18076
Bosnia and Herzegovina,BIH,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10372840125.2054,11549801483.5484,11148784005.6455
Botswana,BWA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6904812503.6241,7528334921.56863,6160141513.03006
Botswana,BWA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6340735012.33279,7312140051.84128,..
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,258329886570.157,280742690897.148,263497852452.782
Brazil,BRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,226514898036.35,257663477835.22,254722826457.9
British Virgin Islands,VGB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
British Virgin Islands,VGB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Brunei Darussalam,BRN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6012294735.31755,7045834309.43732,7804997287.78771
Brunei Darussalam,BRN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4320510018.7501,5681696874.53474,6805793041.86536
Bulgaria,BGR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,39675532699.5102,43591843693.4218,44009023468.8037
Bulgaria,BGR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,37239440000,41496250000,40849240000
Burkina Faso,BFA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3731626622.06429,4517544324.79096,4056716092.88783
Burkina Faso,BFA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4629393892.1884,5166928038.8901,..
Burundi,BDI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,236167733.241568,285503118.549762,275062068.739445
Burundi,BDI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,885421946.40787,905294483.669827,..
Cabo Verde,CPV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,812736072.667436,968366815.998092,1008054463.88803
Cabo Verde,CPV,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1179579876.70898,1335845828.69856,1291419201.98317
Cambodia,KHM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,13457559457.2629,15135150382.1529,16549259440.9858
Cambodia,KHM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,18246676109.7443,21862705608.1586,25515540744.8225
Cameroon,CMR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6506092153.93536,7473268802.66596,7885214648.64118
Cameroon,CMR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7271200972.12933,8422507281.96614,..
Canada,CAN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,518235397597.284,550529196589.897,549482700560.327
Canada,CAN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,554855685693.338,584174762267.095,578749593810.266
Caribbean small states,CSS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Caribbean small states,CSS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,32970810672.8425,35289713609.8873,..
Cayman Islands,CYM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Cayman Islands,CYM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2195360763.00184,..,..
Central African Republic,CAF,Exports of goods and services (current US$),NE.EXP.GNFS.CD,357682947.600536,419401328.480781,414205622.696962
Central African Republic,CAF,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Central Europe and the Baltics,CEB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,942778190415.806,1058039728342.62,1056492838848.78
