"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Horses",10101,"Animal Products",1,2017,NaN,65413
"Animals; live",101,"Bovine",10102,"Animal Products",1,2017,NaN,91768
"Animals; live",101,"Pigs",10103,"Animal Products",1,2017,NaN,10077051
"Animals; live",101,"Sheep and Goats",10104,"Animal Products",1,2017,NaN,93700
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2017,NaN,4310637
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,2017,NaN,6328011
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,2017,NaN,24406489
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2017,NaN,237121846
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2017,NaN,120762
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,2017,NaN,250441835
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,2017,NaN,1427585
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2017,NaN,363756
"Meat and edible meat offal",102,"Animal Fat",10209,"Animal Products",1,2017,NaN,744245
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,2017,NaN,554422
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2017,NaN,1158533
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2017,NaN,1822435
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2017,NaN,822421709
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2017,NaN,58389924
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2017,NaN,4087868
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2017,NaN,139390814
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2017,NaN,110194069
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2017,NaN,965215
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Milk",10401,"Animal Products",1,2017,NaN,239891
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Concentrated Milk",10402,"Animal Products",1,2017,NaN,94875561
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2017,NaN,942722
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Whey",10404,"Animal Products",1,2017,NaN,241352402
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Butter",10405,"Animal Products",1,2017,NaN,738519
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Cheese",10406,"Animal Products",1,2017,NaN,61440240
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2017,NaN,5840
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2017,NaN,239984
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2017,NaN,779299
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2017,NaN,132617
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2017,NaN,191936104
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2017,NaN,23573914
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2017,NaN,29911512
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,2017,NaN,125536
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2017,NaN,119122
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,2017,NaN,19482391
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,2017,NaN,120385
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Other Live Plants",20602,"Vegetable Products",2,2017,NaN,4180456
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,2017,NaN,9213
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Foliage",20604,"Vegetable Products",2,2017,NaN,129565
"Vegetables and certain roots and tubers; edible",207,"Potatoes",20701,"Vegetable Products",2,2017,NaN,325378
"Vegetables and certain roots and tubers; edible",207,"Tomatoes",20702,"Vegetable Products",2,2017,NaN,32136
"Vegetables and certain roots and tubers; edible",207,"Onions",20703,"Vegetable Products",2,2017,NaN,512143
"Vegetables and certain roots and tubers; edible",207,"Legumes",20708,"Vegetable Products",2,2017,NaN,43426
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,2017,NaN,198221
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,2017,NaN,15181724
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,2017,NaN,234377
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,2017,NaN,3755456
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,2017,NaN,26730199
"Vegetables and certain roots and tubers; edible",207,"Cassava",20714,"Vegetable Products",2,2017,NaN,51562
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,2017,NaN,481047
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,2017,NaN,218990204
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,2017,NaN,424515
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus",20805,"Vegetable Products",2,2017,NaN,50325623
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Grapes",20806,"Vegetable Products",2,2017,NaN,41104963
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Apples and Pears",20808,"Vegetable Products",2,2017,NaN,19111864
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Pitted Fruits",20809,"Vegetable Products",2,2017,NaN,120906259
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Fruits",20810,"Vegetable Products",2,2017,NaN,332820
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,2017,NaN,5184224
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Dried Fruits",20813,"Vegetable Products",2,2017,NaN,17110593
