"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Dried Fruits",20813,"Vegetable Products",2,2018,NaN,43905708
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,2018,NaN,332880
"Coffee, tea, mate and spices",209,"Coffee",20901,"Vegetable Products",2,2018,NaN,25288946
"Coffee, tea, mate and spices",209,"Tea",20902,"Vegetable Products",2,2018,NaN,73216237
"Coffee, tea, mate and spices",209,"Pepper",20904,"Vegetable Products",2,2018,NaN,70318984
"Coffee, tea, mate and spices",209,"Cinnamon",20906,"Vegetable Products",2,2018,NaN,717941
"Coffee, tea, mate and spices",209,"Cloves",20907,"Vegetable Products",2,2018,NaN,365853
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,2018,NaN,581224
"Coffee, tea, mate and spices",209,"Spice Seeds",20909,"Vegetable Products",2,2018,NaN,1273098
"Coffee, tea, mate and spices",209,"Spices",20910,"Vegetable Products",2,2018,NaN,49213799
"Cereals",210,"Wheat",21001,"Vegetable Products",2,2018,NaN,22703
"Cereals",210,"Barley",21003,"Vegetable Products",2,2018,NaN,31858
"Cereals",210,"Oats",21004,"Vegetable Products",2,2018,NaN,15401
"Cereals",210,"Corn",21005,"Vegetable Products",2,2018,NaN,482342
"Cereals",210,"Rice",21006,"Vegetable Products",2,2018,NaN,27486888
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,2018,NaN,190472
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,2018,NaN,926052
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Flours",21101,"Vegetable Products",2,2018,NaN,985931
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Flours",21102,"Vegetable Products",2,2018,NaN,178190
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,2018,NaN,270934
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Processed Cereals",21104,"Vegetable Products",2,2018,NaN,958125
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Potato Flours",21105,"Vegetable Products",2,2018,NaN,533340
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Legume Flours",21106,"Vegetable Products",2,2018,NaN,45707017
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Malt",21107,"Vegetable Products",2,2018,NaN,17360
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Starches",21108,"Vegetable Products",2,2018,NaN,6195221
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Gluten",21109,"Vegetable Products",2,2018,NaN,298425
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Soybeans",21201,"Vegetable Products",2,2018,NaN,8937313
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Linseed",21204,"Vegetable Products",2,2018,NaN,34029
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,2018,NaN,5632377
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,2018,NaN,20433558
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,2018,NaN,83925
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,2018,NaN,55057088
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Hops",21210,"Vegetable Products",2,2018,NaN,59200
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Perfume Plants",21211,"Vegetable Products",2,2018,NaN,56059892
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,2018,NaN,66068775
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Cereal Straws",21213,"Vegetable Products",2,2018,NaN,7410
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Forage Crops",21214,"Vegetable Products",2,2018,NaN,594207
