"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Horses",10101,"Animal Products",1,2018,NaN,460049
"Animals; live",101,"Bovine",10102,"Animal Products",1,2018,NaN,9544
"Animals; live",101,"Pigs",10103,"Animal Products",1,2018,NaN,6812657
"Animals; live",101,"Sheep and Goats",10104,"Animal Products",1,2018,NaN,27732
"Animals; live",101,"Poultry",10105,"Animal Products",1,2018,NaN,591408
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2018,NaN,3390768
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,2018,NaN,6742845
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,2018,NaN,53444750
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2018,NaN,198894805
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,2018,NaN,130039162
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,2018,NaN,105222
"Meat and edible meat offal",102,"Animal Fat",10209,"Animal Products",1,2018,NaN,2621
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,2018,NaN,778402
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2018,NaN,1362668
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2018,NaN,97666
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2018,NaN,646507819
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2018,NaN,46317768
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2018,NaN,1061594
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2018,NaN,146349541
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2018,NaN,108135941
