"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Horses",10101,"Animal Products",1,2020,NaN,65075
"Animals; live",101,"Bovine",10102,"Animal Products",1,2020,NaN,7281
"Animals; live",101,"Pigs",10103,"Animal Products",1,2020,NaN,8579748
"Animals; live",101,"Poultry",10105,"Animal Products",1,2020,NaN,7337178
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2020,NaN,2279636
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,2020,NaN,57919439
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,2020,NaN,223307757
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2020,NaN,1646184032
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2020,NaN,77219
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,2020,NaN,451522723
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,2020,NaN,764261135
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2020,NaN,6262
"Meat and edible meat offal",102,"Animal Fat",10209,"Animal Products",1,2020,NaN,2087382
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,2020,NaN,857162
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2020,NaN,249328
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2020,NaN,330479
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2020,NaN,400707986
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2020,NaN,27973606
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2020,NaN,631920
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2020,NaN,81063105
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2020,NaN,73400960
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2020,NaN,126770
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Milk",10401,"Animal Products",1,2020,NaN,684076
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Concentrated Milk",10402,"Animal Products",1,2020,NaN,62852719
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2020,NaN,1829203
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Whey",10404,"Animal Products",1,2020,NaN,206669406
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Butter",10405,"Animal Products",1,2020,NaN,2632033
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Cheese",10406,"Animal Products",1,2020,NaN,38750277
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2020,NaN,163481
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2020,NaN,438954
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2020,NaN,31450
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2020,NaN,15000
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2020,NaN,218693650
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2020,NaN,4975951
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2020,NaN,107302
