"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2020,NaN,493456
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2020,NaN,163745
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,2020,NaN,104306
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2020,NaN,3594631
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2020,NaN,235955
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2020,NaN,1131444
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2020,NaN,82451228
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2020,NaN,978813240
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2020,NaN,41874160
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2020,NaN,7613055
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2020,NaN,77862374
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2020,NaN,180189
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2020,NaN,727723
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2020,NaN,3914013
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2020,NaN,931298
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2020,NaN,2592
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2020,NaN,1291338
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2020,NaN,325490
"Animal originated products; not elsewhere specified or included",105,"Pig Hair",10502,"Animal Products",1,2020,NaN,3585987
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2020,NaN,289771
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2020,NaN,43622158
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2020,NaN,95200
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2020,NaN,2210848
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,2020,NaN,95235355
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,2020,NaN,141838
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Other Live Plants",20602,"Vegetable Products",2,2020,NaN,25765949
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,2020,NaN,1748327
