"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Horses",10101,"Animal Products",1,2017,NaN,15000
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2017,NaN,3755500
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2017,NaN,10511227
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2017,NaN,373619
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2017,NaN,1047226
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2017,NaN,118251455
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2017,NaN,1145260072
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2017,NaN,33908652
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2017,NaN,147304250
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2017,NaN,230004551
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2017,NaN,401087
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Butter",10405,"Animal Products",1,2017,NaN,92943
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2017,NaN,3289799
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2017,NaN,1381267
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2017,NaN,98091
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2017,NaN,2934312
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2017,NaN,256088
"Animal originated products; not elsewhere specified or included",105,"Pig Hair",10502,"Animal Products",1,2017,NaN,7212536
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2017,NaN,75686223
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2017,NaN,108955224
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2017,NaN,325250
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,2017,NaN,65610
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2017,NaN,2013587
"Animal originated products; not elsewhere specified or included",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,2017,NaN,69076
