Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3056424581.00559,..,..,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.9999991044233,..,..,..
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,26630.2052807325,..,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,29007.6930034887,..,..,..
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,144.964357521477,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1329188475752.32,1432881172002.17,1396567014733.23,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.30061062359425,2.94928577160958,2.16095629535999,..
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,56058.4659514366,56832.0504820575,57186.6212930671,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54027.9668184568,57354.9640455891,55060.3261005013,..
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,41.8187203488936,43.2626476825205,45.7104594710859,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,417237869115.93,455094861902.062,445075391688.156,..
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.39958760332166,2.58012073304926,1.41873427248989,..
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,49031.1070286152,50051.7859126367,50552.9061212823,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,47426.5119597773,51478.2852619277,50137.6627762476,..
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,104.944224211506,108.110820195531,107.779781982421,..
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,40865558912.3867,47112941176.4706,48047647058.8235,..
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.153614646686307,1.50040170699388,2.21870427670241,..
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5764.69251955865,5800.71518438101,5879.99265435911,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4147.08971569171,4739.84171028393,4793.58701966989,..
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,90.4023156823216,91.6725765369825,86.0438780132467,..
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12490700000,13022100000,13578800000,..
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.11561351467324,3.02599916773715,1.21787385742007,..
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,28282.518097005,28845.2557704818,28908.5485742501,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,32718.6381008013,33767.5033710196,34863.7420984795,..
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,76.3391963620934,77.7977438354797,75.9198161840516,..
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,35473776595.7447,37652500000,38574069148.9362,..
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.29094977756338,1.77943344650697,1.8191745112009,..
