"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Coffee, tea, mate and spices",209,"Coffee",20901,"Vegetable Products",2,2019,NaN,25032748
"Coffee, tea, mate and spices",209,"Tea",20902,"Vegetable Products",2,2019,NaN,57608563
"Coffee, tea, mate and spices",209,"Pepper",20904,"Vegetable Products",2,2019,NaN,79632865
"Coffee, tea, mate and spices",209,"Cinnamon",20906,"Vegetable Products",2,2019,NaN,534226
"Coffee, tea, mate and spices",209,"Cloves",20907,"Vegetable Products",2,2019,NaN,452698
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,2019,NaN,293359
"Coffee, tea, mate and spices",209,"Spice Seeds",20909,"Vegetable Products",2,2019,NaN,1627823
"Coffee, tea, mate and spices",209,"Spices",20910,"Vegetable Products",2,2019,NaN,47992648
"Cereals",210,"Barley",21003,"Vegetable Products",2,2019,NaN,4950
"Cereals",210,"Oats",21004,"Vegetable Products",2,2019,NaN,2676
"Cereals",210,"Corn",21005,"Vegetable Products",2,2019,NaN,15481
"Cereals",210,"Rice",21006,"Vegetable Products",2,2019,NaN,22389969
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,2019,NaN,44461
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,2019,NaN,494063
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Flours",21101,"Vegetable Products",2,2019,NaN,543769
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Flours",21102,"Vegetable Products",2,2019,NaN,219241
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,2019,NaN,99190
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Processed Cereals",21104,"Vegetable Products",2,2019,NaN,614946
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Potato Flours",21105,"Vegetable Products",2,2019,NaN,373860
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Legume Flours",21106,"Vegetable Products",2,2019,NaN,26101178
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Malt",21107,"Vegetable Products",2,2019,NaN,3204
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Starches",21108,"Vegetable Products",2,2019,NaN,3135578
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Gluten",21109,"Vegetable Products",2,2019,NaN,3667242
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Soybeans",21201,"Vegetable Products",2,2019,NaN,1993016
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Linseed",21204,"Vegetable Products",2,2019,NaN,2900
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,2019,NaN,2833134
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,2019,NaN,12418865
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,2019,NaN,164908
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,2019,NaN,24234309
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Hops",21210,"Vegetable Products",2,2019,NaN,122000
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Perfume Plants",21211,"Vegetable Products",2,2019,NaN,26551895
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,2019,NaN,42460432
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Cereal Straws",21213,"Vegetable Products",2,2019,NaN,2550
