hs2,hs2_id,hs4,hs4_id,section,section_id,time,time_id,trade_value,type
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,Hydrogen peroxide,62847,Chemical Products,6,2019,NA,907566,Export--US to China
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,Carbides,62849,Chemical Products,6,2019,NA,2180280,Export--US to China
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,Hydrides and other anions,62850,Chemical Products,6,2019,NA,46044433,Export--US to China
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,Other inorganic compounds,62853,Chemical Products,6,2019,NA,3465903,Export--US to China
Organic chemicals,629,Acyclic Hydrocarbons,62901,Chemical Products,6,2019,NA,107003425,Export--US to China
Organic chemicals,629,Cyclic Hydrocarbons,62902,Chemical Products,6,2019,NA,95330874,Export--US to China
Organic chemicals,629,Halogenated Hydrocarbons,62903,Chemical Products,6,2019,NA,114559843,Export--US to China
Organic chemicals,629,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",62904,Chemical Products,6,2019,NA,8297046,Export--US to China
Organic chemicals,629,Acyclic Alcohols,62905,Chemical Products,6,2019,NA,233182458,Export--US to China
Organic chemicals,629,Cyclic Alcohols,62906,Chemical Products,6,2019,NA,28805054,Export--US to China
Organic chemicals,629,Phenols,62907,Chemical Products,6,2019,NA,43153964,Export--US to China
Organic chemicals,629,Phenol Derivatives,62908,Chemical Products,6,2019,NA,11298865,Export--US to China
Organic chemicals,629,Ethers,62909,Chemical Products,6,2019,NA,85148849,Export--US to China
Organic chemicals,629,Epoxides,62910,Chemical Products,6,2019,NA,65747026,Export--US to China
Organic chemicals,629,Acetals and Hemiacetals,62911,Chemical Products,6,2019,NA,488500,Export--US to China
Organic chemicals,629,Aldehydes,62912,Chemical Products,6,2019,NA,14665646,Export--US to China
Organic chemicals,629,Aldehyde Derivatives,62913,Chemical Products,6,2019,NA,10530,Export--US to China
Organic chemicals,629,Ketones and Quinones,62914,Chemical Products,6,2019,NA,19275759,Export--US to China
Organic chemicals,629,Saturated Acyclic Monocarboxylic Acids,62915,Chemical Products,6,2019,NA,59112536,Export--US to China
Organic chemicals,629,Unsaturated Acyclic Monocarboxylic Acids,62916,Chemical Products,6,2019,NA,12335221,Export--US to China
Organic chemicals,629,Polycarboxylic Acids,62917,Chemical Products,6,2019,NA,31232753,Export--US to China
Organic chemicals,629,Carboxylic Acids,62918,Chemical Products,6,2019,NA,16201884,Export--US to China
Organic chemicals,629,Phosphoric Esters and Salts,62919,Chemical Products,6,2019,NA,1998695,Export--US to China
Organic chemicals,629,Other Esters,62920,Chemical Products,6,2019,NA,17838107,Export--US to China
Organic chemicals,629,Amine Compounds,62921,Chemical Products,6,2019,NA,179709219,Export--US to China
Organic chemicals,629,Oxygen Amino Compounds,62922,Chemical Products,6,2019,NA,60500382,Export--US to China
Organic chemicals,629,Quaternary Ammonium Salts and Hydroxides,62923,Chemical Products,6,2019,NA,15047605,Export--US to China
Organic chemicals,629,Carboxyamide Compounds,62924,Chemical Products,6,2019,NA,11496801,Export--US to China
Organic chemicals,629,Carboxyimide Compounds,62925,Chemical Products,6,2019,NA,13076021,Export--US to China
Organic chemicals,629,Nitrile Compounds,62926,Chemical Products,6,2019,NA,315767532,Export--US to China
Organic chemicals,629,"Diazo, Azo or Aoxy Compounds",62927,Chemical Products,6,2019,NA,39049,Export--US to China
Organic chemicals,629,Hydrazine or Hydroxylamine Derivatives,62928,Chemical Products,6,2019,NA,2951651,Export--US to China
Organic chemicals,629,Other Nitrogen Compounds,62929,Chemical Products,6,2019,NA,9063626,Export--US to China
Organic chemicals,629,Organo-Sulfur Compounds,62930,Chemical Products,6,2019,NA,64540513,Export--US to China
Organic chemicals,629,Other Organo-Inorganic Compounds,62931,Chemical Products,6,2019,NA,61483241,Export--US to China
Organic chemicals,629,Oxygen Heterocyclic Compounds,62932,Chemical Products,6,2019,NA,30829893,Export--US to China
Organic chemicals,629,Nitrogen Heterocyclic Compounds,62933,Chemical Products,6,2019,NA,276623839,Export--US to China
Organic chemicals,629,Nucleic Acids,62934,Chemical Products,6,2019,NA,15103509,Export--US to China
Organic chemicals,629,Sulfonamides,62935,Chemical Products,6,2019,NA,22342595,Export--US to China
Organic chemicals,629,Vitamins,62936,Chemical Products,6,2019,NA,48446181,Export--US to China
Organic chemicals,629,Hormones,62937,Chemical Products,6,2019,NA,4256278,Export--US to China
Organic chemicals,629,Glycosides,62938,Chemical Products,6,2019,NA,912623,Export--US to China
Organic chemicals,629,Vegetable Alkaloids,62939,Chemical Products,6,2019,NA,1033418,Export--US to China
Organic chemicals,629,Chemically Pure Sugars,62940,Chemical Products,6,2019,NA,6634226,Export--US to China
Organic chemicals,629,Antibiotics,62941,Chemical Products,6,2019,NA,70615674,Export--US to China
Organic chemicals,629,Other Organic Compounds,62942,Chemical Products,6,2019,NA,14108663,Export--US to China
Pharmaceutical products,630,Glands and Other Organs,63001,Chemical Products,6,2019,NA,28076909,Export--US to China
Pharmaceutical products,630,"Blood, antisera, vaccines, toxins and cultures",63002,Chemical Products,6,2019,NA,2051246725,Export--US to China
Pharmaceutical products,630,Unpackaged Medicaments,63003,Chemical Products,6,2019,NA,7905106,Export--US to China
Pharmaceutical products,630,Packaged Medicaments,63004,Chemical Products,6,2019,NA,1444768501,Export--US to China
Pharmaceutical products,630,Bandages,63005,Chemical Products,6,2019,NA,47711591,Export--US to China
Pharmaceutical products,630,Special Pharmaceuticals,63006,Chemical Products,6,2019,NA,153958536,Export--US to China
Fertilizers,631,Animal or Vegetable Fertilizers,63101,Chemical Products,6,2019,NA,367878,Export--US to China
Fertilizers,631,Nitrogenous Fertilizers,63102,Chemical Products,6,2019,NA,512321,Export--US to China
Fertilizers,631,Phosphatic Fertilizers,63103,Chemical Products,6,2019,NA,49422,Export--US to China
Fertilizers,631,Potassic Fertilizers,63104,Chemical Products,6,2019,NA,245490846,Export--US to China
Fertilizers,631,Mixed Mineral or Chemical Fertilizers,63105,Chemical Products,6,2019,NA,33301082,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Vegetable Tanning Extracts,63201,Chemical Products,6,2019,NA,8663,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Synthetic Tanning Extracts,63202,Chemical Products,6,2019,NA,488026,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Vegetable or Animal Dyes,63203,Chemical Products,6,2019,NA,2207772,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Synthetic Coloring Matter,63204,Chemical Products,6,2019,NA,54108475,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Lake Pigments,63205,Chemical Products,6,2019,NA,7284232,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Other Coloring Matter,63206,Chemical Products,6,2019,NA,66972307,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Prepared Pigments,63207,Chemical Products,6,2019,NA,60339841,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Nonaqueous Paints,63208,Chemical Products,6,2019,NA,52450027,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Aqueous Paints,63209,Chemical Products,6,2019,NA,29930423,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Other Paints,63210,Chemical Products,6,2019,NA,3204615,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Prepared Paint Driers,63211,Chemical Products,6,2019,NA,894215,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Nonaqueous Pigments,63212,Chemical Products,6,2019,NA,10909558,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Artistry Paints,63213,Chemical Products,6,2019,NA,2315814,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Glaziers Putty,63214,Chemical Products,6,2019,NA,60131917,Export--US to China
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,Ink,63215,Chemical Products,6,2019,NA,37616653,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Essential Oils,63301,Chemical Products,6,2019,NA,73668673,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Scented Mixtures,63302,Chemical Products,6,2019,NA,61531196,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Perfumes,63303,Chemical Products,6,2019,NA,6990436,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Beauty Products,63304,Chemical Products,6,2019,NA,332059708,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Hair Products,63305,Chemical Products,6,2019,NA,8962244,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Dental Products,63306,Chemical Products,6,2019,NA,26045499,Export--US to China
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,Shaving Products,63307,Chemical Products,6,2019,NA,82300137,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Soap,63401,Chemical Products,6,2019,NA,23092442,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Cleaning Products,63402,Chemical Products,6,2019,NA,187391750,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Lubricating Products,63403,Chemical Products,6,2019,NA,153257799,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Waxes,63404,Chemical Products,6,2019,NA,70062234,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Polishes and Creams,63405,Chemical Products,6,2019,NA,46257693,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Candles,63406,Chemical Products,6,2019,NA,3194234,Export--US to China
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",634,Pastes and Waxes,63407,Chemical Products,6,2019,NA,1608983,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Casein,63501,Chemical Products,6,2019,NA,1515828,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Water Soluble Proteins,63502,Chemical Products,6,2019,NA,55144008,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Gelatin,63503,Chemical Products,6,2019,NA,7040299,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Peptones,63504,Chemical Products,6,2019,NA,9015525,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Dextrins,63505,Chemical Products,6,2019,NA,38696398,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Glues,63506,Chemical Products,6,2019,NA,92013733,Export--US to China
Albuminoidal substances; modified starches; glues; enzymes,635,Enzymes,63507,Chemical Products,6,2019,NA,42662752,Export--US to China
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,636,Propellant Powders,63601,Chemical Products,6,2019,NA,2364437,Export--US to China
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,636,Prepared Explosives,63602,Chemical Products,6,2019,NA,2952806,Export--US to China
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,636,Detonating Fuses,63603,Chemical Products,6,2019,NA,17282350,Export--US to China
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,636,Fireworks,63604,Chemical Products,6,2019,NA,3161558,Export--US to China
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,636,Matches,63605,Chemical Products,6,2019,NA,0,Export--US to China
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,636,Pyrophoric Alloys,63606,Chemical Products,6,2019,NA,6836555,Export--US to China
Photographic or cinematographic goods,637,Photographic Plates,63701,Chemical Products,6,2019,NA,100304267,Export--US to China
Photographic or cinematographic goods,637,Photographic Film,63702,Chemical Products,6,2019,NA,306094490,Export--US to China
Photographic or cinematographic goods,637,Photographic Paper,63703,Chemical Products,6,2019,NA,29095930,Export--US to China
Photographic or cinematographic goods,637,Developed Exposed Photographic Material,63705,Chemical Products,6,2019,NA,11482800,Export--US to China
Photographic or cinematographic goods,637,"Motion-picture film, exposed and developed",63706,Chemical Products,6,2019,NA,10000,Export--US to China
Photographic or cinematographic goods,637,Photographic Chemicals,63707,Chemical Products,6,2019,NA,34423867,Export--US to China
Chemical products n.e.s.,638,Artificial Graphite,63801,Chemical Products,6,2019,NA,23467293,Export--US to China
Chemical products n.e.s.,638,Activated Carbon,63802,Chemical Products,6,2019,NA,35154887,Export--US to China
Chemical products n.e.s.,638,Tall Oil,63803,Chemical Products,6,2019,NA,10576210,Export--US to China
Chemical products n.e.s.,638,Wood Pulp Lyes,63804,Chemical Products,6,2019,NA,14895704,Export--US to China
Chemical products n.e.s.,638,Turpentine,63805,Chemical Products,6,2019,NA,3060,Export--US to China
Chemical products n.e.s.,638,Rosin,63806,Chemical Products,6,2019,NA,16346886,Export--US to China
Chemical products n.e.s.,638,"Wood Tar, Oils and Pitch",63807,Chemical Products,6,2019,NA,8112494,Export--US to China
Chemical products n.e.s.,638,Pesticides,63808,Chemical Products,6,2019,NA,126184012,Export--US to China
Chemical products n.e.s.,638,Dyeing Finishing Agents,63809,Chemical Products,6,2019,NA,45544594,Export--US to China
Chemical products n.e.s.,638,Metal Pickling Preparations,63810,Chemical Products,6,2019,NA,10329370,Export--US to China
Chemical products n.e.s.,638,Antiknock,63811,Chemical Products,6,2019,NA,243520549,Export--US to China
Chemical products n.e.s.,638,Prepared Rubber Accelerators,63812,Chemical Products,6,2019,NA,29953317,Export--US to China
Chemical products n.e.s.,638,Fire Extinguishers Preparations,63813,Chemical Products,6,2019,NA,953992,Export--US to China
Chemical products n.e.s.,638,Organic Composite Solvents,63814,Chemical Products,6,2019,NA,12827859,Export--US to China
Chemical products n.e.s.,638,Reaction and Catalytic Products,63815,Chemical Products,6,2019,NA,426273042,Export--US to China
Chemical products n.e.s.,638,Refractory Cements,63816,Chemical Products,6,2019,NA,4090486,Export--US to China
Chemical products n.e.s.,638,Alkylbenzenes and Alkylnaphthalenes,63817,Chemical Products,6,2019,NA,16200037,Export--US to China
Chemical products n.e.s.,638,Disc Chemicals for Electronics,63818,Chemical Products,6,2019,NA,87441314,Export--US to China
Chemical products n.e.s.,638,Hydraulic Brake Fluid,63819,Chemical Products,6,2019,NA,1706828,Export--US to China
Chemical products n.e.s.,638,Antifreeze,63820,Chemical Products,6,2019,NA,3743361,Export--US to China
Chemical products n.e.s.,638,Micro-Organism Culture Preparations,63821,Chemical Products,6,2019,NA,76847875,Export--US to China
Chemical products n.e.s.,638,Laboratory Reagents,63822,Chemical Products,6,2019,NA,607837699,Export--US to China
Chemical products n.e.s.,638,"Industrial Fatty Acids, Oils and Alcohols",63823,Chemical Products,6,2019,NA,6663344,Export--US to China
Chemical products n.e.s.,638,Prepr binder for foundry,63824,Chemical Products,6,2019,NA,384660291,Export--US to China
Chemical products n.e.s.,638,Residual products of the chemical or allied industries,63825,Chemical Products,6,2019,NA,352633,Export--US to China
Plastics and articles thereof,739,Ethylene Polymers,73901,Plastics and Rubbers,7,2019,NA,668222793,Export--US to China
Plastics and articles thereof,739,Propylene Polymers,73902,Plastics and Rubbers,7,2019,NA,108085827,Export--US to China
Plastics and articles thereof,739,Styrene Polymers,73903,Plastics and Rubbers,7,2019,NA,120511011,Export--US to China
Plastics and articles thereof,739,Vinyl Chloride Polymers,73904,Plastics and Rubbers,7,2019,NA,309230510,Export--US to China
Plastics and articles thereof,739,Other Vinyl Polymers,73905,Plastics and Rubbers,7,2019,NA,65916147,Export--US to China
Plastics and articles thereof,739,Acrylic Polymers,73906,Plastics and Rubbers,7,2019,NA,94258756,Export--US to China
Plastics and articles thereof,739,Polyacetals,73907,Plastics and Rubbers,7,2019,NA,711841219,Export--US to China
Plastics and articles thereof,739,Polyamides,73908,Plastics and Rubbers,7,2019,NA,242069128,Export--US to China
Plastics and articles thereof,739,Amino-resins,73909,Plastics and Rubbers,7,2019,NA,81518187,Export--US to China
Plastics and articles thereof,739,Silicone,73910,Plastics and Rubbers,7,2019,NA,126580382,Export--US to China
Plastics and articles thereof,739,Petroleum Resins,73911,Plastics and Rubbers,7,2019,NA,154832737,Export--US to China
Plastics and articles thereof,739,Cellulose,73912,Plastics and Rubbers,7,2019,NA,193632794,Export--US to China
Plastics and articles thereof,739,Natural Polymers,73913,Plastics and Rubbers,7,2019,NA,25280216,Export--US to China
Plastics and articles thereof,739,Polymer Ion-Exchangers,73914,Plastics and Rubbers,7,2019,NA,22361000,Export--US to China
Plastics and articles thereof,739,Scrap Plastic,73915,Plastics and Rubbers,7,2019,NA,7798805,Export--US to China
Plastics and articles thereof,739,Monofilament,73916,Plastics and Rubbers,7,2019,NA,7485931,Export--US to China
Plastics and articles thereof,739,Plastic Pipes,73917,Plastics and Rubbers,7,2019,NA,93143331,Export--US to China
Plastics and articles thereof,739,Plastic Floor Coverings,73918,Plastics and Rubbers,7,2019,NA,2691647,Export--US to China
Plastics and articles thereof,739,Self-adhesive Plastics,73919,Plastics and Rubbers,7,2019,NA,206202015,Export--US to China
Plastics and articles thereof,739,Raw Plastic Sheeting,73920,Plastics and Rubbers,7,2019,NA,446383956,Export--US to China
Plastics and articles thereof,739,Other Plastic Sheetings,73921,Plastics and Rubbers,7,2019,NA,192174908,Export--US to China
Plastics and articles thereof,739,Plastic Wash Basins,73922,Plastics and Rubbers,7,2019,NA,497017,Export--US to China
Plastics and articles thereof,739,Plastic Lids,73923,Plastics and Rubbers,7,2019,NA,79606101,Export--US to China
Plastics and articles thereof,739,Plastic Housewares,73924,Plastics and Rubbers,7,2019,NA,5672733,Export--US to China
Plastics and articles thereof,739,Plastic Building Materials,73925,Plastics and Rubbers,7,2019,NA,7853568,Export--US to China
Plastics and articles thereof,739,Other Plastic Products,73926,Plastics and Rubbers,7,2019,NA,315775098,Export--US to China
Rubber and articles thereof,740,Rubber,74001,Plastics and Rubbers,7,2019,NA,833388,Export--US to China
Rubber and articles thereof,740,Synthetic Rubber,74002,Plastics and Rubbers,7,2019,NA,202133390,Export--US to China
Rubber and articles thereof,740,Reclaimed Rubber,74003,Plastics and Rubbers,7,2019,NA,195588,Export--US to China
Rubber and articles thereof,740,Scrap Rubber,74004,Plastics and Rubbers,7,2019,NA,2983682,Export--US to China
Rubber and articles thereof,740,Compounded Unvulcanised Rubber,74005,Plastics and Rubbers,7,2019,NA,50475226,Export--US to China
Rubber and articles thereof,740,Unvulcanised Rubber Products,74006,Plastics and Rubbers,7,2019,NA,1794886,Export--US to China
Rubber and articles thereof,740,Rubber Thread,74007,Plastics and Rubbers,7,2019,NA,655151,Export--US to China
Rubber and articles thereof,740,Rubber Sheets,74008,Plastics and Rubbers,7,2019,NA,8392913,Export--US to China
Rubber and articles thereof,740,Rubber Pipes,74009,Plastics and Rubbers,7,2019,NA,38861380,Export--US to China
Rubber and articles thereof,740,Rubber Belting,74010,Plastics and Rubbers,7,2019,NA,9999097,Export--US to China
Rubber and articles thereof,740,Rubber Tires,74011,Plastics and Rubbers,7,2019,NA,40569895,Export--US to China
Rubber and articles thereof,740,Used Rubber Tires,74012,Plastics and Rubbers,7,2019,NA,536584,Export--US to China
Rubber and articles thereof,740,Rubber Inner Tubes,74013,Plastics and Rubbers,7,2019,NA,388375,Export--US to China
Rubber and articles thereof,740,Pharmaceutical Rubber Products,74014,Plastics and Rubbers,7,2019,NA,1799295,Export--US to China
Rubber and articles thereof,740,Rubber Apparel,74015,Plastics and Rubbers,7,2019,NA,5853607,Export--US to China
Rubber and articles thereof,740,Other Rubber Products,74016,Plastics and Rubbers,7,2019,NA,105693787,Export--US to China
Rubber and articles thereof,740,Hard Rubber,74017,Plastics and Rubbers,7,2019,NA,240490,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Equine and Bovine Hides,84101,Animal Hides,8,2019,NA,398662117,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Sheep Hides,84102,Animal Hides,8,2019,NA,3712460,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Other Hides and Skins,84103,Animal Hides,8,2019,NA,4934018,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Tanned Equine and Bovine Hides,84104,Animal Hides,8,2019,NA,107201194,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Tanned Goat Hides,84106,Animal Hides,8,2019,NA,52520,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Leather of Other Animals,84107,Animal Hides,8,2019,NA,6210854,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Leather further prepared after tanning or crusting of sheep or lamb,84112,Animal Hides,8,2019,NA,63560,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Leather further prepared after tanning or crusting of animals (other than ovine),84113,Animal Hides,8,2019,NA,239365,Export--US to China
Raw hides and skins (other than furskins) and leather,841,Composition leather with a basis of leather or leather fibre,84115,Animal Hides,8,2019,NA,75290,Export--US to China
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,Saddlery,84201,Animal Hides,8,2019,NA,310823,Export--US to China
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,Trunks and Cases,84202,Animal Hides,8,2019,NA,25993168,Export--US to China
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,Leather Apparel,84203,Animal Hides,8,2019,NA,1273791,Export--US to China
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,Other Leather Articles,84205,Animal Hides,8,2019,NA,303085,Export--US to China
Furskins and artificial fur; manufactures thereof,843,Raw Furskins,84301,Animal Hides,8,2019,NA,2630662,Export--US to China
Furskins and artificial fur; manufactures thereof,843,Tanned Furskins,84302,Animal Hides,8,2019,NA,3054,Export--US to China
Furskins and artificial fur; manufactures thereof,843,Furskin Apparel,84303,Animal Hides,8,2019,NA,785953,Export--US to China
Wood and articles of wood; wood charcoal,944,Fuel Wood,94401,Wood Products,9,2019,NA,1327400,Export--US to China
Wood and articles of wood; wood charcoal,944,Rough Wood,94403,Wood Products,9,2019,NA,703773868,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Stakes,94404,Wood Products,9,2019,NA,77000,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Wool,94405,Wood Products,9,2019,NA,4804,Export--US to China
Wood and articles of wood; wood charcoal,944,Railroad Ties,94406,Wood Products,9,2019,NA,20400,Export--US to China
Wood and articles of wood; wood charcoal,944,Sawn Wood,94407,Wood Products,9,2019,NA,827016400,Export--US to China
Wood and articles of wood; wood charcoal,944,Veneer Sheets,94408,Wood Products,9,2019,NA,4717461,Export--US to China
Wood and articles of wood; wood charcoal,944,Shaped Wood,94409,Wood Products,9,2019,NA,2102289,Export--US to China
Wood and articles of wood; wood charcoal,944,Particle Board,94410,Wood Products,9,2019,NA,310660,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Fiberboard,94411,Wood Products,9,2019,NA,624166,Export--US to China
Wood and articles of wood; wood charcoal,944,Plywood,94412,Wood Products,9,2019,NA,2353044,Export--US to China
Wood and articles of wood; wood charcoal,944,Densified Wood,94413,Wood Products,9,2019,NA,13220,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Frames,94414,Wood Products,9,2019,NA,3132,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Crates,94415,Wood Products,9,2019,NA,2569531,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Barrels,94416,Wood Products,9,2019,NA,410780,Export--US to China
Wood and articles of wood; wood charcoal,944,Wooden Tool Handles,94417,Wood Products,9,2019,NA,82555,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Carpentry,94418,Wood Products,9,2019,NA,2228744,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Kitchenware,94419,Wood Products,9,2019,NA,1536798,Export--US to China
Wood and articles of wood; wood charcoal,944,Wood Ornaments,94420,Wood Products,9,2019,NA,467320,Export--US to China
Wood and articles of wood; wood charcoal,944,Other Wood Articles,94421,Wood Products,9,2019,NA,616747,Export--US to China
Cork and articles of cork,945,Raw Cork,94501,Wood Products,9,2019,NA,7812,Export--US to China
Cork and articles of cork,945,Natural Cork Articles,94503,Wood Products,9,2019,NA,115357,Export--US to China
Cork and articles of cork,945,Agglomerated Cork,94504,Wood Products,9,2019,NA,48893,Export--US to China
"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",946,Plaiting Products,94601,Wood Products,9,2019,NA,49519,Export--US to China
"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",946,Basketwork,94602,Wood Products,9,2019,NA,2653,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Mechanical Wood Pulp,104701,Paper Goods,10,2019,NA,3843228,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Dissolving Grades Chemical Woodpulp,104702,Paper Goods,10,2019,NA,311948195,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Sulfate Chemical Woodpulp,104703,Paper Goods,10,2019,NA,875650316,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Sulfite Chemical Woodpulp,104704,Paper Goods,10,2019,NA,595873,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Semi chemical Woodpulp,104705,Paper Goods,10,2019,NA,5488857,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Recovered Paper Pulp,104706,Paper Goods,10,2019,NA,78332937,Export--US to China
Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard,1047,Recovered Paper,104707,Paper Goods,10,2019,NA,809857580,Export--US to China
"Paper and paperboard; articles of paper pulp, of paper or paperboard",1048,Newsprint,104801,Paper Goods,10,2019,NA,942234,Export--US to China
