country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd
Afghanistan,2017,18869945677.9599,2.64700320230295,571.440690906349,519.884773089339,0
Afghanistan,2018,18353881129.881,1.18922812897529,564.609991742901,493.750418116312,0
Afghanistan,2019,19291104007.8299,3.91160341860697,573.287551042738,507.103431871987,0
Albania,2017,13019693450.8816,3.80219748796804,4864.31061630449,4531.02080555986,78.1942750821788
Albania,2018,15147020535.3869,4.07130129479023,5074.85722194352,5284.38018438156,76.8558877534769
Albania,2019,15279183289.9372,2.24007026773023,5210.68829038413,5353.2448564014,76.8914950284438
Algeria,2017,170163165960.516,1.29999999999994,4792.38724221245,4111.29411013269,55.321332683485
Algeria,2018,175405660377.358,1.2000000000002,4753.51098744717,4153.73397805915,57.8986226487974
Algeria,2019,171091289782.245,0.799999999999784,4699.76340456603,3973.96407191565,52.0263555949345
American Samoa,2017,602000000,-5.85443037974683,9048.18252237097,10823.4448040273,162.458471760797
American Samoa,2018,636000000,2.18487394957982,9271.71200951825,11466.6907058505,168.238993710692
Andorra,2017,3000180750.11297,0.346071889630295,44430.7440094935,38962.8803536703,0
Andorra,2018,3218316013.22626,1.58876549046354,45133.7136149095,41793.0552583729,0
Andorra,2019,3154057987.23833,1.84923825726078,45887.3021264552,40886.3911648431,0
Angola,2017,122123822333.59,-0.147212941085755,3409.93030259958,4095.81294155857,52.256821448818
Angola,2018,101353230784.594,-2.00362972730201,3233.90623484048,3289.64666408633,66.3780119350296
Angola,2019,88815697793.303,-0.624644317706895,3111.15769874335,2790.72661520665,68.8502850634669
Antigua And Barbuda,2017,1467977777.77778,3.14554360323184,14220.5021076325,15383.4151884998,133.585128445783
Antigua And Barbuda,2018,1605351851.85185,7.38919716232351,15134.8841569088,16672.7442395764,141.198998719561
Antigua And Barbuda,2019,1661962962.96296,4.6586491566827,15704.2659429089,17112.8211347326,0
Arab World,2017,2516121177762.82,0.820846516639278,6445.93377633856,6108.58822028271,86.1785968243827
Arab World,2018,2771384097904.53,2.07946900622331,6456.27832472536,6601.82518932287,86.307775092246
Arab World,2019,2817414584665.11,1.48763301718738,6428.59338306898,6584.74024069285,83.9170355683774
Argentina,2017,643628665302.668,2.81850297245272,10419.455405282,14613.0418246696,25.2896011376345
Argentina,2018,517626700412.718,-2.56535187644216,10049.5552392518,11633.4980086465,31.1749415367593
