country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd,country_code,exports_of_goods_and_services_current_us,imports_of_goods_and_services_bo_p_current_us,trade_openness,is_2017,is_2018,is_2019,value_of_inbound_fdi_mil_usd,value_of_inbound_fdi_usd_per_cap,ln_gdp,ln_gdp_per_cap_current,ln_gdp_per_cap2010,gdppercapcurrentusd_sq,country_name_afghanistan,country_name_albania,country_name_algeria,country_name_angola,country_name_antigua_and_barbuda,country_name_argentina,country_name_armenia,country_name_aruba,country_name_australia,country_name_austria,country_name_azerbaijan,country_name_bahamas,country_name_bahrain,country_name_bangladesh,country_name_barbados,country_name_belarus,country_name_belgium,country_name_belize,country_name_benin,country_name_bermuda,country_name_bhutan,country_name_bolivia,country_name_bosnia_and_herzegovina,country_name_botswana,country_name_brazil,country_name_brunei_darussalam,country_name_bulgaria,country_name_burkina_faso,country_name_burundi,country_name_cabo_verde,country_name_cambodia,country_name_cameroon,country_name_canada,country_name_cayman_islands,country_name_central_african_republic,country_name_chad,country_name_chile,country_name_china,country_name_colombia,country_name_comoros,country_name_congo_democratic_republic,country_name_congo_republic,country_name_costa_rica,country_name_croatia,country_name_cyprus,country_name_denmark,country_name_djibouti,country_name_dominica,country_name_dominican_republic,country_name_ecuador,country_name_egypt,country_name_el_salvador,country_name_equatorial_guinea,country_name_estonia,country_name_eswatini,country_name_ethiopia,country_name_fiji,country_name_finland,country_name_france,country_name_gabon,country_name_gambia,country_name_georgia,country_name_germany,country_name_ghana,country_name_greece,country_name_grenada,country_name_guatemala,country_name_guinea,country_name_guinea_bissau,country_name_guyana,country_name_haiti,country_name_honduras,country_name_hong_kong,country_name_hungary,country_name_iceland,country_name_india,country_name_indonesia,country_name_iran,country_name_iraq,country_name_ireland,country_name_israel,country_name_italy,country_name_jamaica,country_name_japan,country_name_jordan,country_name_kazakhstan,country_name_kenya,country_name_kiribati,country_name_korea_south,country_name_kuwait,country_name_kyrgyzstan,country_name_lao_peoples_democratic_republic,country_name_latvia,country_name_lebanon,country_name_lesotho,country_name_liberia,country_name_lithuania,country_name_luxembourg,country_name_macao,country_name_macedonia,country_name_madagascar,country_name_malawi,country_name_malaysia,country_name_maldives,country_name_mali,country_name_malta,country_name_marshall_islands,country_name_mauritania,country_name_mauritius,country_name_mexico,country_name_moldova,country_name_mongolia,country_name_montenegro,country_name_morocco,country_name_mozambique,country_name_myanmar,country_name_namibia,country_name_nepal,country_name_netherlands,country_name_new_zealand,country_name_nicaragua,country_name_niger,country_name_nigeria,country_name_norway,country_name_oman,country_name_pakistan,country_name_palau,country_name_palestinian_territory,country_name_panama,country_name_papua_new_guinea,country_name_paraguay,country_name_peru,country_name_philippines,country_name_poland,country_name_portugal,country_name_qatar,country_name_romania,country_name_russian_federation,country_name_rwanda,country_name_saint_kitts_and_nevis,country_name_saint_lucia,country_name_saint_vincent_and_the_grenadines,country_name_samoa,country_name_sao_tome_and_principe,country_name_saudi_arabia,country_name_senegal,country_name_serbia,country_name_seychelles,country_name_sierra_leone,country_name_singapore,country_name_sint_maarten_dutch_part,country_name_slovakia,country_name_slovenia,country_name_solomon_islands,country_name_somalia,country_name_south_africa,country_name_spain,country_name_sri_lanka,country_name_sudan,country_name_suriname,country_name_sweden,country_name_tajikistan,country_name_tanzania,country_name_thailand,country_name_timor_leste,country_name_togo,country_name_tonga,country_name_trinidad_and_tobago,country_name_tunisia,country_name_turkey,country_name_turkmenistan,country_name_turks_and_caicos_islands,country_name_tuvalu,country_name_uganda,country_name_ukraine,country_name_united_arab_emirates,country_name_united_kingdom,country_name_united_states,country_name_uruguay,country_name_uzbekistan,country_name_vanuatu,country_name_viet_nam,country_name_yemen,country_name_zambia,country_name_zimbabwe
Central African Republic,2017,2072350151.13061,4.52727821346231,137721.73568499167,450.900244979058,57.1435457117119,CAF,357682947.600536,0,0.17259773760018077,1,0,0,6.889,1.499,21.451949138924533,6.111246128738175,5.91649526018591,203311.03092217454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,2018,2220978978.17342,3.78944359275462,143917.80972233892,475.953609871945,65.8636468647533,CAF,419401328.480781,0,0.18883624410785982,0,1,0,18.004,3.858,21.52121391678618,6.16532039122984,5.938498824896116,226531.83875013562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,2019,2220307368.69593,2.97027564753407,147567.81249610204,467.907440636335,66.135130443945,CAF,414205622.696962,0,0.18655328020653308,0,0,1,25.601,5.395,21.520911477614213,6.148270499939224,5.951021547423803,218937.3730028454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2017,10000395242.1457,-2.98869598553931,668362.065333469,665.94835269506,73.5750081822223,TCD,3387430128.68017,0,0.3387296248456434,1,0,0,363.382,24.198,23.025890453373965,6.501212119027432,6.7062926598272625,443487.20845726394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2018,11239167048.4916,2.37403780037786,659369.6886012366,726.149881109447,74.2047537321657,TCD,4067531256.38563,0,0.3619068244858528,0,1,0,460.891,29.778,23.142670572659885,6.587756441326535,6.699519820206104,527293.6498352641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2019,11314951342.7807,3.24718191743429,662140.0673237965,709.540310138533,74.5705255558558,TCD,4157368098.56787,0,0.36742253436382677,0,0,1,566.639,35.533,23.14939081578234,6.564617309839659,6.701616197299467,503447.4517114855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2017,277044950259.009,1.18857258229855,217302756.1989614,14999.3700885512,55.6556655521952,CHL,78790199944.6259,75085023489.7674,0.5554160914701226,1,0,0,6519.011,352.943,26.34744560527182,9.615763485105983,9.598401064494327,224981103.05332446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2018,298258019275.049,3.94932089095181,228363338.56179878,15924.7942393064,57.3516466624662,CHL,85257763802.9178,85158706133.6264,0.5713726335029025,0,1,0,7020.659,374.852,26.421224785325077,9.67563255974819,9.623224254342293,253599071.56424633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2019,282318159744.65,1.05444255073994,227751878.38251188,14896.4538665789,56.7617888231289,CHL,79613395185.9381,80237779208.1644,0.5662093240430726,0,0,1,11437.401,603.492,26.36630049796068,9.608878468076503,9.62188367081675,221904337.79911348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,2017,12310409370892.8,6.94720079330668,53976007.50492903,8879.43866711346,37.6324132404996,CHN,2424199911705.08,2212267456271.44,0.37662982832554365,1,0,0,136315,95.927,30.14146631072167,9.09149362082528,8.902025100165677,78844431.04302965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
