"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,2018,NaN,695800228
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,2018,NaN,270196726
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,2018,NaN,9484039
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,2018,NaN,194213306
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,2018,NaN,684245585
"Vegetables and certain roots and tubers; edible",207,"Cassava",20714,"Vegetable Products",2,2018,NaN,204935655
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,2018,NaN,37606047
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,2018,NaN,7802880994
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Bananas",20803,"Vegetable Products",2,2018,NaN,428836324
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,2018,NaN,368210993
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus",20805,"Vegetable Products",2,2018,NaN,960995947
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Grapes",20806,"Vegetable Products",2,2018,NaN,1182454214
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Melons",20807,"Vegetable Products",2,2018,NaN,259855624
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Apples and Pears",20808,"Vegetable Products",2,2018,NaN,1151633674
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Pitted Fruits",20809,"Vegetable Products",2,2018,NaN,625520955
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Fruits",20810,"Vegetable Products",2,2018,NaN,1024898349
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,2018,NaN,218946911
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,2018,NaN,6929694
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Dried Fruits",20813,"Vegetable Products",2,2018,NaN,227777121
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,2018,NaN,2807654
"Coffee, tea, mate and spices",209,"Coffee",20901,"Vegetable Products",2,2018,NaN,759689851
"Coffee, tea, mate and spices",209,"Tea",20902,"Vegetable Products",2,2018,NaN,98176270
"Coffee, tea, mate and spices",209,"Maté",20903,"Vegetable Products",2,2018,NaN,2074635
"Coffee, tea, mate and spices",209,"Pepper",20904,"Vegetable Products",2,2018,NaN,64696956
"Coffee, tea, mate and spices",209,"Vanilla",20905,"Vegetable Products",2,2018,NaN,20748774
"Coffee, tea, mate and spices",209,"Cinnamon",20906,"Vegetable Products",2,2018,NaN,11932325
"Coffee, tea, mate and spices",209,"Cloves",20907,"Vegetable Products",2,2018,NaN,1081372
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,2018,NaN,3304117
"Coffee, tea, mate and spices",209,"Spice Seeds",20909,"Vegetable Products",2,2018,NaN,6299057
"Coffee, tea, mate and spices",209,"Spices",20910,"Vegetable Products",2,2018,NaN,38452932
"Cereals",210,"Wheat",21001,"Vegetable Products",2,2018,NaN,5451604820
"Cereals",210,"Rye",21002,"Vegetable Products",2,2018,NaN,3568727
"Cereals",210,"Barley",21003,"Vegetable Products",2,2018,NaN,26767867
"Cereals",210,"Oats",21004,"Vegetable Products",2,2018,NaN,9954340
"Cereals",210,"Corn",21005,"Vegetable Products",2,2018,NaN,12901193098
"Cereals",210,"Rice",21006,"Vegetable Products",2,2018,NaN,1686099981
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,2018,NaN,805457738
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,2018,NaN,100588330
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Flours",21101,"Vegetable Products",2,2018,NaN,130612347
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Flours",21102,"Vegetable Products",2,2018,NaN,98672842
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,2018,NaN,68691193
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Processed Cereals",21104,"Vegetable Products",2,2018,NaN,91068247
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Potato Flours",21105,"Vegetable Products",2,2018,NaN,100963717
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Legume Flours",21106,"Vegetable Products",2,2018,NaN,64002567
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Malt",21107,"Vegetable Products",2,2018,NaN,232769153
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Starches",21108,"Vegetable Products",2,2018,NaN,90928892
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Gluten",21109,"Vegetable Products",2,2018,NaN,19869164
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Soybeans",21201,"Vegetable Products",2,2018,NaN,17110792117
